1,La Serenisima
2,Adidas
3,Nike
4,Coca-Cola
5,Samsung 
6,Microsoft
7,Sony 
8,Philips
9,Gillette
10,Ayudin
11,Nokia
12,Nesquik 
13,Cif 
14,Bon o Bon
15,Lysoform
16,Bayer 
17,Adidas Originals
18,Bic
19,Yogurisimo
20,Faber-Castell
21,Puma
22,Pantene
23,Hellmans
24,Mantecol
25,Paladini
26,Exquisita
27,Nestle
28,Johnson & Johnson
29,Colgate
30,Arcor 
31,Paty 
32,Reebok 
33,Duracell
34,Gatorade
35,Milka
36,Whirlpool
37,Fernet Branca
38,Cepita
39,Lucchetti
40,McDonalds
41,Gancia
42,Cindor 
43,Skip
44,Apple
45,Natura
46,Bagley 
47,Blancaflor 
48,Colgate Total
49,Ariel
50,Dermaglos
51,Terrabusi
52,Aceite Ideal
53,Agua Pura Salvavidas
54,Ambia
55,Anabelly
56,Audi
57,Avianca
58,Banco Azteca
59,Banco GT Continental
60,Brahva
61,Camas Olympia
62,Canella
63,Casa Medica
